Name,Address,Rating,Website,Type,Time,Duration (minutes)
Global Gifts,"446 Massachusetts Ave, Indianapolis, IN 46204",4.7,https://www.globalgiftsft.com/,Gift shop,9:00,60
Silver In the City,"434 Massachusetts Ave, Indianapolis, IN 46204",4.7,http://www.silverinthecity.com/,Gift shop,10:00,60
Indianapolis Canal Walk,"Canal Walk, Indianapolis, IN 46202",4.7,https://www.whiteriverstatepark.org/,Park,11:00,120
Chipotle ,University BLVD ,4.9,https://www.whiteriverstatepark.org/,Restaurant,13:00,60
Lucas Oil Stadium,"500 S Capitol Ave, Indianapolis, IN 46225",4.7,http://www.lucasoilstadium.com/,Stadium,14:00,120
Indianapolis Zoo,"1200 W Washington St, Indianapolis, IN 46222",4.5,http://www.indianapoliszoo.com/,Zoo,16:00,120
Circle Shopping mall ,49 W Maryland Street ,,https://www.circlecentre.com/?utm_source=gbp&utm_medium=organic,Shopping Mall ,18:00,120
